Changed?,String,String_di,Location,Notes,
*** FINALE,Counter_3?,Counter_3,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
*** FINALE,Counter_4?,Counter_4,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
*** FINALE,Counter_5?,Counter_5,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
*** FINALE,Counter_6?,Counter_6,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
*** FINALE,Wins: {victorycount}[;] Losses: {losscount},***,Episode Selection,Tooltip for wins/losses if loss showing is enabled,
*** FINALE,Backstage,***,Map Screen,Name of the finale episode in the bottom left hand corner,
*** FINALE,Again! Again! You are overcome with [yellow]inspiration[]!,***,Inventor battle victory,In double rubble you are required to scrap two items instead of one,
*** FINALE,You scrapped {item}!,***,Inventor battle victory,,
*** FINALE,Something else[;],***,Inventor battle victory,In parallel universe you can choose to scrap a random item,
*** FINALE,chosen at random,***,Inventor battle victory,In parallel universe you can choose to scrap a random item,
*** FINALE,Jinx,***,Status Effect,Parallel Universe status effect for Jester,
*** FINALE,Super {enemyname},***,Super enemies,Some enemies are shown as super versions with more attack power,
*** FINALE,Full health!,***,Map Screen,If you try to collect an apple when you have full health,
*** FINALE,Upgrade Equipment,***,Shop,displayed in shops when upgrades can be purchased,
*** FINALE,Complete this episode|to unlock hard mode,***,Equipment Selection,shown in bonus round above certain equipment choices,
*** FINALE,Enemy equipment is upgraded,Todo el equipo está mejorado.,Equipment Selection,shown in bonus round above certain equipment choices,
*** FINALE,Next,***,Episode Completion,Button,
*** FINALE,Continue,***,Episode Completion,Button,
*** FINALE,View,***,Episode Completion,Button,
*** FINALE,YOU'VE UNLOCKED,***,Episode Completion,,
*** FINALE,THE {newcharacter}!,***,Episode Completion,,
*** FINALE,CHALLENGE COMPLETE!,***,Episode Completion,,
*** FINALE,CHALLENGES COMPLETE!,***,Episode Completion,,
*** FINALE,...and more!,***,Episode Completion,,
*** FINALE,Compression Errors,***,Episode Selection,New episode for launch,
*** FINALE,Ah[;] time for more dice! Unfortunately[;] there's a slight|problem: for complicated reasons that we won't go into|here[;] for this episode[;] you can't have two dice showing|the same number...,***,Episode Selection,Episode rules for Compression Errors,
*** FINALE,(modding cheats are active),***,Everywhere,Displayed on screen at all times if the player is using modding cheats,
*** FINALE,Blocked!,***,Combat,Displayed if the player blocks a status effect,
*** FINALE,Immune!,***,Combat,Displayed if the player or enemy is immune to a status effect,
*** FINALE,SPELL SLOTS: THREE SPELLS PREPARED,***,Witch Spellbook,,
*** FINALE,SPELL SLOTS: FOUR SPELLS PREPARED,***,Witch Spellbook,,
*** FINALE,Play a game as Warrior,***,Locked content,Shown if you are on the character select screen and have not played as warrior,
*** FINALE,You win! The enemy joins your party!,***,Final Episode,Recruit enemy screen in final episode,
*** FINALE,Welcome!,***,Final Episode,Recruit enemy screen in final episode,
*** FINALE,Steal All,***,Finders Keepers,,
*** FINALE,New!,***,Character Selection,Shown above newly available characters on character select screen,
*** FINALE,{partyleady}'s rebellion was defeated...,***,Final Episode,,
*** FINALE,Party was wiped out...,***,Final Episode,,
*** FINALE,{playername} was knocked out!,***,Combat,,
*** FINALE,Party,***,Final Episode,Shown where equipment button would go on map screen,
*** FINALE,Collect all,***,Finders Keepers,,
*** FINALE,Ignore them,***,Finders Keepers,,
*** FINALE,You have found a booster pack!,***,Jester Combat,,
*** FINALE,You have found new items!,***,Jester Combat,,
*** FINALE,Select a spell\nto replace,***,Witch Spellbook,,
*** FINALE,You can either collect all of them[;] or ignore them.,***,Witch Spellbook,,
*** FINALE,Choose a rule change:,***,Remix screen,,
*** FINALE,Current rule changes,***,Remix screen,,
*** FINALE,Choose your starting gear!,***,Remix screen,,
*** FINALE,Maximum health increased by [heart]{healthincrease}[]!,***,Level up,Shown on level up to indicate HP change,
*** FINALE,Maximum health reduced by [heart]{healthincrease}[]...,***,Level up,Shown on level up to indicate HP change,
*** FINALE,But your maximum health doesn't increase...\n,***,Level up,Shown on level up to indicate HP change,
*** FINALE,You have a game already in progress. Continue?,***,Continue Screen,,
*** FINALE,Or start a new game:,***,Continue Screen,,
*** FINALE,New Game,***,Continue Screen,Button,
*** FINALE,Locked Contestant,***,Character Selection,,
*** FINALE,MUST EQUAL {totalvalue},***,Combat,Shown on dice slots that require a total value,
*** FINALE,Unshock,***,Combat,Shown in parallel universe when equipment is shocked – button,
*** FINALE,Lose [heart]3 hp,***,Combat,Shown in parallel universe when equipment is shocked – button description,
*** FINALE,Cancel,***,Combat,,
*** FINALE,is weak to shock,***,Combat,,
*** FINALE,Final Showdown,***,Final Episode,Shown in a big sign in the final episode,
*** FINALE,Find a way to rescue everyone and escape the dungeons.,***,Final Episode,,
*** FINALE,If {selectedcharacter} is knocked out[;] it's game over.,***,Final Episode,,
*** FINALE,Select a teammate to restore [heart]10 health,***,Final Episode,In apples on the finale episode,
*** FINALE,Who will restore [heart]10 health?,***,Final Episode,In apples on the finale episode,
*** FINALE,At max health,***,Final Episode,In apples on the finale episode,
*** FINALE,Translator Mode,***,Title Screen,Translator mode button – translate it if you like,
*** FINALE,The Elimination Round,***,Episode Selection,Updated name for classic hard mode,
*** FINALE,Keep your cards close to your chest... oh yeah[;] by the|way[;] you have cards now.,***,Episode Selection,Updated description for Jester Journey,
*** FINALE,A straightforward adventure for a straightforward warrior.|But you're a jester so[;] uh...,***,Episode Selection,Updated description for Jester Warrior,
*** FINALE,Hey[;] wouldn't it be cool if you stole ALL of an enemy's|equipment[;] every time you fought? Let's find out!,***,Episode Selection,Updated description for Losers Weepers,
*** FINALE,Woah[;] now you can magic up dice with any value you want!|Sure[;] there's a chance things will go horribly wrong when|you do. But let's focus on the positive: any dice you want!,***,Episode Selection,Updated description for you choose you lose,
*** FINALE,A special treat: a random spell each turn! Yes[;] completely|random. Is that going to be an issue?,***,Episode Selection,Updated description for expect the unexpected,
*** FINALE,It's like magic - your first dice is always a 6! Your|next[;] 5. Then 4. Then 3. Look[;] you're a witch[;] I'm sure|you can handle it.,***,Episode Selection,Updated description for countdown,
*** FINALE,{playername} versus...,***,Boss encounter,Shown before encountering a boss,
*** FINALE,Title,***,Character Selection,Button,
*** FINALE,Challenges,***,Character Selection,Button,
*** FINALE,Complete!,***,Challenges,,
*** FINALE,Status effects work differently.,***,Episode Selection,Final rule description for Parallel Universe,
*** FINALE,All of the equipment has been changed.,***,Episode Selection,Final rule description for Parallel Universe,
*** FINALE,You can keep enemy equipment after each fight.,***,Episode Selection,Final rule description for Finders Keepers,
*** FINALE,On your first turn[;] all dice rolls are 1.,***,Episode Selection,Final rule description for Uptick,
*** FINALE,Second turn[;] all dice rolls are 2.,***,Episode Selection,Final rule description for Uptick,
*** FINALE,... and so on.,***,Episode Selection,Final rule description for Uptick,
*** FINALE,Duplicate dice vanish immediately.,***,Episode Selection,Final rule description for Compression Errors,
*** FINALE,50% chance that equipment will randomly disappear each time.,***,Episode Selection,Final rule description for You Choose You lose,
*** FINALE,silenced,***,Combat,Shown on healthbar when Silence is applied,
